"date","year","month","semester","week","day_of_week","season"
"2019-01-01",2019,1,1,1,2,"Winter"
"2019-01-02",2019,1,1,1,3,"Winter"
"2019-01-03",2019,1,1,1,4,"Winter"
"2019-01-04",2019,1,1,1,5,"Winter"
"2019-01-05",2019,1,1,1,6,"Winter"
"2019-01-06",2019,1,1,1,7,"Winter"
"2019-01-07",2019,1,1,2,1,"Winter"
"2019-01-08",2019,1,1,2,2,"Winter"
"2019-01-09",2019,1,1,2,3,"Winter"
"2019-01-10",2019,1,1,2,4,"Winter"
"2019-01-11",2019,1,1,2,5,"Winter"
"2019-01-12",2019,1,1,2,6,"Winter"
"2019-01-13",2019,1,1,2,7,"Winter"
"2019-01-14",2019,1,1,3,1,"Winter"
"2019-01-15",2019,1,1,3,2,"Winter"
"2019-01-16",2019,1,1,3,3,"Winter"
"2019-01-17",2019,1,1,3,4,"Winter"
"2019-01-18",2019,1,1,3,5,"Winter"
"2019-01-19",2019,1,1,3,6,"Winter"
"2019-01-20",2019,1,1,3,7,"Winter"
"2019-01-21",2019,1,1,4,1,"Winter"
"2019-01-22",2019,1,1,4,2,"Winter"
"2019-01-23",2019,1,1,4,3,"Winter"
"2019-01-24",2019,1,1,4,4,"Winter"
"2019-01-25",2019,1,1,4,5,"Winter"
"2019-01-26",2019,1,1,4,6,"Winter"
"2019-01-27",2019,1,1,4,7,"Winter"
"2019-01-28",2019,1,1,5,1,"Winter"
"2019-01-29",2019,1,1,5,2,"Winter"
"2019-01-30",2019,1,1,5,3,"Winter"
"2019-01-31",2019,1,1,5,4,"Winter"
"2019-02-01",2019,2,1,5,5,"Winter"
"2019-02-02",2019,2,1,5,6,"Winter"
"2019-02-03",2019,2,1,5,7,"Winter"
"2019-02-04",2019,2,1,6,1,"Winter"
"2019-02-05",2019,2,1,6,2,"Winter"
"2019-02-06",2019,2,1,6,3,"Winter"
"2019-02-07",2019,2,1,6,4,"Winter"
"2019-02-08",2019,2,1,6,5,"Winter"
"2019-02-09",2019,2,1,6,6,"Winter"
"2019-02-10",2019,2,1,6,7,"Winter"
"2019-02-11",2019,2,1,7,1,"Winter"
"2019-02-12",2019,2,1,7,2,"Winter"
"2019-02-13",2019,2,1,7,3,"Winter"
"2019-02-14",2019,2,1,7,4,"Winter"
"2019-02-15",2019,2,1,7,5,"Winter"
